Activity Time,Total_Sessions,Unique_Subscribers,Public_IPs
2021-07-26 11:16:28,6,4,1
2021-07-26 11:16:29,1,1,1
2021-07-26 11:16:30,3,3,1
2021-07-26 11:16:31,14,8,1
2021-07-26 11:16:32,5,2,1
2021-07-26 11:16:33,6,3,1
2021-07-26 11:16:34,5,4,1
2021-07-26 11:16:35,2,1,1
2021-07-26 11:16:36,3,2,1
2021-07-26 11:16:37,6,4,1
2021-07-26 11:16:38,3,3,1
2021-07-26 11:16:39,3,2,1
2021-07-26 11:16:40,4,3,1
2021-07-26 11:16:41,2,2,1
2021-07-26 11:16:42,4,4,1
2021-07-26 11:16:43,4,4,1
2021-07-26 11:16:44,4,4,1
2021-07-26 11:16:45,15,5,1
2021-07-26 11:16:46,10,4,1
2021-07-26 11:16:47,17,8,1
2021-07-26 11:16:48,7,4,1
2021-07-26 11:16:49,8,6,1
2021-07-26 11:16:50,3,3,1
2021-07-26 11:16:51,9,4,1
2021-07-26 11:16:52,10,3,1
2021-07-26 11:16:53,16,5,1
2021-07-26 11:16:54,9,5,1
2021-07-26 11:16:55,1,1,1
2021-07-26 11:16:56,7,3,1
2021-07-26 11:16:57,2,2,1
2021-07-26 11:16:58,10,5,1
2021-07-26 11:16:59,1,1,1
2021-07-26 11:17:00,15,6,1
2021-07-26 11:17:01,7,4,1
2021-07-26 11:17:02,7,4,1
2021-07-26 11:17:03,4,4,1
2021-07-26 11:17:04,8,5,1
2021-07-26 11:17:05,12,5,1
2021-07-26 11:17:06,3,3,1
2021-07-26 11:17:07,3,3,1
2021-07-26 11:17:08,2,2,1
2021-07-26 11:17:09,1,1,1
2021-07-26 11:17:10,10,6,1
2021-07-26 11:17:11,4,4,1
2021-07-26 11:17:12,7,3,1
2021-07-26 11:17:13,7,5,1
2021-07-26 11:17:14,4,1,1
2021-07-26 11:17:15,2,2,1
2021-07-26 11:17:16,6,4,1
2021-07-26 11:17:17,8,1,1
2021-07-26 11:17:18,8,5,1
2021-07-26 11:17:19,7,3,1
2021-07-26 11:17:20,6,3,1
2021-07-26 11:17:21,1,1,1
2021-07-26 11:17:22,2,2,1
2021-07-26 11:17:23,3,2,1
2021-07-26 11:17:24,7,4,1
2021-07-26 11:17:25,1,1,1
2021-07-26 11:17:26,2,1,1
2021-07-26 11:17:27,4,3,1
2021-07-26 11:17:28,7,4,1
2021-07-26 11:17:29,3,2,1
2021-07-26 11:17:30,2,1,1
2021-07-26 11:17:31,3,3,1
2021-07-26 11:17:32,5,2,1
2021-07-26 11:17:33,5,3,1
2021-07-26 11:17:34,2,1,1
2021-07-26 11:17:35,6,4,1
2021-07-26 11:17:36,9,4,1
2021-07-26 11:17:37,7,3,1
2021-07-26 11:17:38,7,4,1
2021-07-26 11:17:40,4,4,1
2021-07-26 11:17:42,6,2,1
2021-07-26 11:17:43,12,2,1
2021-07-26 11:17:44,11,7,1
2021-07-26 11:17:45,5,4,1
2021-07-26 11:17:46,3,2,1
2021-07-26 11:17:47,1,1,1
2021-07-26 11:17:48,5,2,1
2021-07-26 11:17:49,4,3,1
2021-07-26 11:17:50,6,2,1
2021-07-26 11:17:51,6,2,1
2021-07-26 11:17:52,1,1,1
2021-07-26 11:17:53,8,5,1
2021-07-26 11:17:54,3,3,1
2021-07-26 11:17:55,1,1,1
2021-07-26 11:17:56,2,2,1
2021-07-26 11:17:57,7,5,1
2021-07-26 11:17:58,2,2,1
2021-07-26 11:17:59,1,1,1
2021-07-26 11:18:00,4,4,1
2021-07-26 11:18:01,8,5,1
2021-07-26 11:18:02,2,2,1
2021-07-26 11:18:03,9,3,1
2021-07-26 11:18:04,3,3,1
2021-07-26 11:18:05,4,3,1
2021-07-26 11:18:06,6,3,1
2021-07-26 11:18:07,5,3,1
2021-07-26 11:18:08,1,1,1
2021-07-26 11:18:09,4,4,1
2021-07-26 11:18:10,1,1,1
2021-07-26 11:18:11,3,3,1
2021-07-26 11:18:12,1,1,1
2021-07-26 11:18:13,2,2,1
2021-07-26 11:18:14,2,1,1
2021-07-26 11:18:15,2,2,1
2021-07-26 11:18:16,6,3,1
2021-07-26 11:18:17,4,3,1
2021-07-26 11:18:18,6,3,1
2021-07-26 11:18:19,2,2,1
2021-07-26 11:18:20,1,1,1
2021-07-26 11:18:21,4,4,1
2021-07-26 11:18:23,3,1,1
2021-07-26 11:18:24,2,1,1
2021-07-26 11:18:25,5,3,1
2021-07-26 11:18:26,3,3,1
2021-07-26 11:18:27,7,6,1
2021-07-26 11:18:28,4,3,1
2021-07-26 11:18:29,4,1,1
2021-07-26 11:18:30,1,1,1
2021-07-26 11:18:31,1,1,1
2021-07-26 11:18:32,3,3,1
2021-07-26 11:18:33,1,1,1
2021-07-26 11:18:35,2,1,1
2021-07-26 11:18:36,4,3,1
2021-07-26 11:18:37,11,6,1
2021-07-26 11:18:38,9,5,1
2021-07-26 11:18:39,7,2,1
2021-07-26 11:18:40,14,5,1
2021-07-26 11:18:41,2,2,1
2021-07-26 11:18:42,3,2,1
2021-07-26 11:18:43,6,5,1
2021-07-26 11:18:44,7,6,1
2021-07-26 11:18:45,13,5,1
2021-07-26 11:18:46,2,2,1
2021-07-26 11:18:47,6,5,1
2021-07-26 11:18:48,2,2,1
2021-07-26 11:18:49,5,2,1
2021-07-26 11:18:51,5,3,1
2021-07-26 11:18:52,3,2,1
2021-07-26 11:18:54,1,1,1
2021-07-26 11:18:56,2,2,1
2021-07-26 11:18:57,3,2,1
2021-07-26 11:18:58,1,1,1
2021-07-26 11:18:59,5,2,1
2021-07-26 11:19:00,6,5,1
2021-07-26 11:19:01,5,3,1
2021-07-26 11:19:02,6,4,1
2021-07-26 11:19:03,2,2,1
2021-07-26 11:19:04,3,2,1
2021-07-26 11:19:05,4,4,1
2021-07-26 11:19:06,9,5,1
2021-07-26 11:19:07,17,7,1
2021-07-26 11:19:08,11,5,1
2021-07-26 11:19:09,28,5,1
2021-07-26 11:19:10,9,6,1
2021-07-26 11:19:11,3,2,1
2021-07-26 11:19:12,7,5,1
2021-07-26 11:19:13,6,3,1
2021-07-26 11:19:14,3,3,1
2021-07-26 11:19:15,8,2,1
2021-07-26 11:19:16,8,5,1
2021-07-26 11:19:17,5,2,1
2021-07-26 11:19:19,4,1,1
2021-07-26 11:19:20,9,6,1
2021-07-26 11:19:21,6,3,1
2021-07-26 11:19:22,3,3,1
2021-07-26 11:19:23,8,3,1
2021-07-26 11:19:24,4,4,1
2021-07-26 11:19:25,2,2,1
2021-07-26 11:19:26,3,2,1
2021-07-26 11:19:27,9,5,1
2021-07-26 11:19:28,1,1,1
2021-07-26 11:19:30,5,4,1
2021-07-26 11:19:31,6,4,1
2021-07-26 11:19:32,9,3,1
2021-07-26 11:19:33,9,3,1
2021-07-26 11:19:34,1,1,1
2021-07-26 11:19:36,2,2,1
2021-07-26 11:19:37,1,1,1
2021-07-26 11:19:38,3,2,1
2021-07-26 11:19:40,7,2,1
2021-07-26 11:19:41,9,4,1
2021-07-26 11:19:42,4,3,1
2021-07-26 11:19:43,6,4,1
2021-07-26 11:19:44,8,5,1
2021-07-26 11:19:45,4,2,1
2021-07-26 11:19:46,5,3,1
2021-07-26 11:19:47,5,4,1
2021-07-26 11:19:48,5,3,1
2021-07-26 11:19:49,6,3,1
2021-07-26 11:19:50,4,3,1
2021-07-26 11:19:51,5,2,1
2021-07-26 11:19:52,11,3,1
2021-07-26 11:19:53,5,4,1
2021-07-26 11:19:54,3,2,1
2021-07-26 11:19:55,1,1,1
2021-07-26 11:19:56,5,3,1
2021-07-26 11:19:57,2,2,1
2021-07-26 11:19:58,3,3,1
2021-07-26 11:19:59,1,1,1
2021-07-26 11:20:00,4,4,1
2021-07-26 11:20:01,1,1,1
2021-07-26 11:20:03,1,1,1
2021-07-26 11:20:04,3,2,1
2021-07-26 11:20:05,3,2,1
2021-07-26 11:20:06,5,5,1
2021-07-26 11:20:07,4,4,1
2021-07-26 11:20:08,4,4,1
2021-07-26 11:20:09,4,4,1
2021-07-26 11:20:10,2,2,1
2021-07-26 11:20:11,2,1,1
2021-07-26 11:20:12,1,1,1
2021-07-26 11:20:14,2,2,1
2021-07-26 11:20:16,9,4,1
2021-07-26 11:20:18,5,4,1
2021-07-26 11:20:19,3,3,1
2021-07-26 11:20:20,4,3,1
2021-07-26 11:20:21,4,3,1
2021-07-26 11:20:22,3,3,1
2021-07-26 11:20:23,8,3,1
2021-07-26 11:20:24,4,3,1
2021-07-26 11:20:25,2,2,1
2021-07-26 11:20:26,4,2,1
2021-07-26 11:20:27,1,1,1
2021-07-26 11:20:28,6,6,1
2021-07-26 11:20:29,4,4,1
2021-07-26 11:20:30,1,1,1
2021-07-26 11:20:31,5,3,1
2021-07-26 11:20:32,1,1,1
2021-07-26 11:20:33,1,1,1
2021-07-26 11:20:34,5,3,1
2021-07-26 11:20:35,1,1,1
2021-07-26 11:20:36,4,2,1
2021-07-26 11:20:37,1,1,1
2021-07-26 11:20:38,6,1,1
2021-07-26 11:20:39,5,3,1
2021-07-26 11:20:40,9,2,1
2021-07-26 11:20:41,1,1,1
2021-07-26 11:20:42,7,5,1
2021-07-26 11:20:43,7,3,1
2021-07-26 11:20:44,9,4,1
2021-07-26 11:20:45,6,3,1
2021-07-26 11:20:46,5,4,1
2021-07-26 11:20:47,3,3,1
2021-07-26 11:20:48,1,1,1
2021-07-26 11:20:49,7,3,1
2021-07-26 11:20:50,5,3,1
2021-07-26 11:20:51,3,2,1
2021-07-26 11:20:52,1,1,1
2021-07-26 11:20:53,2,2,1
2021-07-26 11:20:54,2,2,1
2021-07-26 11:20:55,7,4,1
2021-07-26 11:20:56,5,2,1
2021-07-26 11:20:57,9,3,1
2021-07-26 11:20:58,11,4,1
2021-07-26 11:20:59,6,3,1
2021-07-26 11:21:00,5,2,1
2021-07-26 11:21:01,7,1,1
2021-07-26 11:21:02,4,1,1
2021-07-26 11:21:03,5,4,1
2021-07-26 11:21:04,4,3,1
2021-07-26 11:21:05,6,3,1
2021-07-26 11:21:06,2,1,1
2021-07-26 11:21:07,7,3,1
2021-07-26 11:21:08,3,2,1
2021-07-26 11:21:09,3,3,1
2021-07-26 11:21:10,6,3,1
2021-07-26 11:21:11,4,3,1
2021-07-26 11:21:12,5,2,1
2021-07-26 11:21:13,9,2,1
2021-07-26 11:21:14,6,3,1
2021-07-26 11:21:15,6,3,1
2021-07-26 11:21:16,10,4,1
2021-07-26 11:21:17,7,3,1
2021-07-26 11:21:18,3,2,1
2021-07-26 11:21:19,5,3,1
2021-07-26 11:21:20,4,2,1
2021-07-26 11:21:21,9,3,1
2021-07-26 11:21:22,6,3,1
2021-07-26 11:21:23,7,4,1
2021-07-26 11:21:24,10,4,1
2021-07-26 11:21:25,2,1,1
2021-07-26 11:21:27,1,1,1
2021-07-26 11:21:28,3,2,1
2021-07-26 11:21:29,6,3,1
2021-07-26 11:21:30,13,5,1
2021-07-26 11:21:31,3,3,1
2021-07-26 11:21:32,3,3,1
2021-07-26 11:21:33,6,2,1
2021-07-26 11:21:34,13,6,1
2021-07-26 11:21:35,3,3,1
2021-07-26 11:21:36,2,2,1
2021-07-26 11:21:37,8,4,1
2021-07-26 11:21:38,2,2,1
2021-07-26 11:21:39,5,4,1
2021-07-26 11:21:40,1,1,1
2021-07-26 11:21:41,1,1,1
2021-07-26 11:21:42,2,1,1
2021-07-26 11:21:43,3,2,1
2021-07-26 11:21:44,9,4,1
2021-07-26 11:21:45,4,3,1
2021-07-26 11:21:46,12,5,1
2021-07-26 11:21:47,2,2,1
2021-07-26 11:21:48,5,4,1
2021-07-26 11:21:49,4,3,1
2021-07-26 11:21:50,16,6,1
2021-07-26 11:21:51,16,4,1
2021-07-26 11:21:52,6,3,1
2021-07-26 11:21:53,6,2,1
2021-07-26 11:21:54,9,4,1
2021-07-26 11:21:55,17,6,1
2021-07-26 11:21:56,3,3,1
2021-07-26 11:21:57,16,2,1
2021-07-26 11:21:58,5,3,1
2021-07-26 11:21:59,9,6,1
2021-07-26 11:22:00,8,4,1
2021-07-26 11:22:01,3,2,1
2021-07-26 11:22:02,7,5,1
2021-07-26 11:22:03,2,1,1
2021-07-26 11:22:04,3,2,1
2021-07-26 11:22:05,8,5,1
2021-07-26 11:22:07,3,2,1
2021-07-26 11:22:08,4,3,1
2021-07-26 11:22:09,1,1,1
2021-07-26 11:22:10,3,3,1
2021-07-26 11:22:11,74,4,1
2021-07-26 11:22:12,3,2,1
2021-07-26 11:22:13,5,3,1
2021-07-26 11:22:14,5,4,1
2021-07-26 11:22:15,3,2,1
2021-07-26 11:22:16,8,5,1
2021-07-26 11:22:17,2,2,1
2021-07-26 11:22:18,6,4,1
2021-07-26 11:22:19,6,3,1
2021-07-26 11:22:20,7,7,1
2021-07-26 11:22:21,12,6,1
2021-07-26 11:22:22,2,2,1
2021-07-26 11:22:23,9,4,1
2021-07-26 11:22:24,7,5,1
2021-07-26 11:22:25,10,3,1
2021-07-26 11:22:26,9,3,1
2021-07-26 11:22:27,4,1,1
2021-07-26 11:22:28,9,4,1
2021-07-26 11:22:29,3,2,1
2021-07-26 11:22:30,1,1,1
2021-07-26 11:22:31,7,5,1
2021-07-26 11:22:32,12,4,1
2021-07-26 11:22:33,12,6,1
2021-07-26 11:22:34,3,3,1
2021-07-26 11:22:35,3,3,1
2021-07-26 11:22:37,9,6,1
2021-07-26 11:22:38,7,4,1
2021-07-26 11:22:39,6,2,1
2021-07-26 11:22:40,5,5,1
2021-07-26 11:22:41,1,1,1
2021-07-26 11:22:42,6,3,1
2021-07-26 11:22:43,12,3,1
2021-07-26 11:22:44,3,2,1
2021-07-26 11:22:45,7,6,1
2021-07-26 11:22:46,4,4,1
2021-07-26 11:22:48,2,2,1
2021-07-26 11:22:49,1,1,1
2021-07-26 11:22:50,6,5,1
2021-07-26 11:22:51,4,2,1
2021-07-26 11:22:52,2,2,1
2021-07-26 11:22:53,4,3,1
2021-07-26 11:22:54,2,2,1
2021-07-26 11:22:55,3,2,1
2021-07-26 11:22:56,2,2,1
2021-07-26 11:22:58,5,3,1
2021-07-26 11:22:59,7,3,1
2021-07-26 11:23:00,4,4,1
2021-07-26 11:23:01,3,3,1
2021-07-26 11:23:02,15,6,1
2021-07-26 11:23:03,3,2,1
2021-07-26 11:23:04,1,1,1
2021-07-26 11:23:05,4,4,1
2021-07-26 11:23:06,7,3,1
2021-07-26 11:23:07,10,5,1
2021-07-26 11:23:08,5,2,1
2021-07-26 11:23:09,1,1,1
2021-07-26 11:23:10,4,4,1
2021-07-26 11:23:11,7,3,1
2021-07-26 11:23:12,9,2,1
2021-07-26 11:23:13,7,2,1
2021-07-26 11:23:14,2,2,1
2021-07-26 11:23:15,2,2,1
2021-07-26 11:23:16,4,3,1
2021-07-26 11:23:18,5,3,1
2021-07-26 11:23:19,2,2,1
2021-07-26 11:23:20,16,7,1
2021-07-26 11:23:21,13,5,1
2021-07-26 11:23:22,12,6,1
2021-07-26 11:23:23,6,5,1
2021-07-26 11:23:24,5,3,1
2021-07-26 11:23:25,1,1,1
2021-07-26 11:23:26,1,1,1
2021-07-26 11:23:27,4,2,1
2021-07-26 11:23:28,9,4,1
2021-07-26 11:23:29,3,2,1
2021-07-26 11:23:30,5,4,1
2021-07-26 11:23:31,2,2,1
2021-07-26 11:23:32,3,3,1
2021-07-26 11:23:33,3,2,1
2021-07-26 11:23:34,4,4,1
2021-07-26 11:23:35,6,3,1
2021-07-26 11:23:36,5,5,1
2021-07-26 11:23:37,6,5,1
2021-07-26 11:23:38,3,2,1
2021-07-26 11:23:39,4,3,1
2021-07-26 11:23:40,15,5,1
2021-07-26 11:23:41,8,6,1
2021-07-26 11:23:42,8,5,1
2021-07-26 11:23:43,6,5,1
2021-07-26 11:23:44,4,3,1
2021-07-26 11:23:45,6,5,1
2021-07-26 11:23:46,6,5,1
2021-07-26 11:23:47,3,2,1
2021-07-26 11:23:48,3,3,1
2021-07-26 11:23:49,7,2,1
2021-07-26 11:23:50,1,1,1
2021-07-26 11:23:51,5,3,1
2021-07-26 11:23:52,3,2,1
2021-07-26 11:23:53,9,4,1
2021-07-26 11:23:54,5,3,1
2021-07-26 11:23:55,10,6,1
2021-07-26 11:23:56,4,3,1
2021-07-26 11:23:57,2,1,1
2021-07-26 11:23:58,4,2,1
2021-07-26 11:23:59,4,4,1
2021-07-26 11:24:00,1,1,1
2021-07-26 11:24:01,3,2,1
2021-07-26 11:24:02,6,3,1
2021-07-26 11:24:03,6,2,1
2021-07-26 11:24:04,2,1,1
2021-07-26 11:24:05,5,4,1
2021-07-26 11:24:06,7,2,1
2021-07-26 11:24:07,4,4,1
2021-07-26 11:24:08,14,4,1
2021-07-26 11:24:09,5,3,1
2021-07-26 11:24:10,7,4,1
2021-07-26 11:24:11,2,2,1
2021-07-26 11:24:12,6,2,1
2021-07-26 11:24:13,10,6,1
2021-07-26 11:24:14,6,2,1
2021-07-26 11:24:15,6,4,1
2021-07-26 11:24:16,3,3,1
2021-07-26 11:24:17,3,1,1
2021-07-26 11:24:18,7,5,1
2021-07-26 11:24:19,8,4,1
2021-07-26 11:24:20,4,3,1
2021-07-26 11:24:21,8,4,1
2021-07-26 11:24:22,5,4,1
2021-07-26 11:24:23,6,4,1
2021-07-26 11:24:24,11,7,1
2021-07-26 11:24:25,6,5,1
2021-07-26 11:24:26,6,4,1
2021-07-26 11:24:27,5,2,1
2021-07-26 11:24:28,6,5,1
2021-07-26 11:24:29,4,4,1
2021-07-26 11:24:30,10,4,1
2021-07-26 11:24:31,4,4,1
2021-07-26 11:24:32,7,5,1
2021-07-26 11:24:33,5,4,1
2021-07-26 11:24:34,1,1,1
2021-07-26 11:24:35,4,3,1
2021-07-26 11:24:36,1,1,1
2021-07-26 11:24:37,1,1,1
2021-07-26 11:24:38,2,2,1
2021-07-26 11:24:39,3,3,1
2021-07-26 11:24:40,1,1,1
2021-07-26 11:24:41,4,3,1
2021-07-26 11:24:42,1,1,1
2021-07-26 11:24:43,3,3,1
2021-07-26 11:24:44,7,5,1
2021-07-26 11:24:45,9,4,1
2021-07-26 11:24:46,12,8,1
2021-07-26 11:24:47,7,2,1
2021-07-26 11:24:48,13,6,1
2021-07-26 11:24:50,4,2,1
2021-07-26 11:24:51,2,2,1
2021-07-26 11:24:52,5,3,1
2021-07-26 11:24:53,4,2,1
2021-07-26 11:24:54,2,2,1
2021-07-26 11:24:55,6,4,1
2021-07-26 11:24:56,10,6,1
2021-07-26 11:24:57,7,7,1
2021-07-26 11:24:58,9,3,1
2021-07-26 11:24:59,9,7,1
2021-07-26 11:25:00,2,2,1
2021-07-26 11:25:01,14,6,1
2021-07-26 11:25:02,6,5,1
2021-07-26 11:25:03,9,5,1
2021-07-26 11:25:04,8,6,1
2021-07-26 11:25:05,7,6,1
2021-07-26 11:25:06,7,5,1
2021-07-26 11:25:07,2,2,1
2021-07-26 11:25:08,4,2,1
2021-07-26 11:25:09,5,4,1
2021-07-26 11:25:10,7,4,1
2021-07-26 11:25:11,3,2,1
2021-07-26 11:25:12,4,4,1
2021-07-26 11:25:13,3,2,1
2021-07-26 11:25:14,2,1,1
2021-07-26 11:25:15,8,5,1
2021-07-26 11:25:16,12,7,1
2021-07-26 11:25:17,2,2,1
2021-07-26 11:25:18,4,4,1
2021-07-26 11:25:19,4,3,1
2021-07-26 11:25:20,3,2,1
2021-07-26 11:25:21,2,2,1
2021-07-26 11:25:22,6,3,1
2021-07-26 11:25:23,8,4,1
2021-07-26 11:25:24,6,1,1
2021-07-26 11:25:25,7,4,1
2021-07-26 11:25:26,3,3,1
2021-07-26 11:25:27,2,1,1
2021-07-26 11:25:28,2,2,1
2021-07-26 11:25:29,3,3,1
2021-07-26 11:25:30,7,4,1
2021-07-26 11:25:31,5,4,1
2021-07-26 11:25:32,4,4,1
2021-07-26 11:25:33,2,1,1
2021-07-26 11:25:34,3,2,1
2021-07-26 11:25:35,10,6,1
2021-07-26 11:25:36,9,6,1
2021-07-26 11:25:38,5,4,1
2021-07-26 11:25:39,1,1,1
2021-07-26 11:25:40,4,2,1
2021-07-26 11:25:41,4,3,1
2021-07-26 11:25:42,5,4,1
2021-07-26 11:25:43,4,3,1
2021-07-26 11:25:44,3,2,1
2021-07-26 11:25:45,1,1,1
2021-07-26 11:25:46,7,6,1
2021-07-26 11:25:47,3,3,1
2021-07-26 11:25:48,7,4,1
2021-07-26 11:25:49,1,1,1
2021-07-26 11:25:50,3,2,1
2021-07-26 11:25:51,3,3,1
2021-07-26 11:25:52,6,4,1
2021-07-26 11:25:53,4,4,1
2021-07-26 11:25:54,3,3,1
2021-07-26 11:25:55,7,5,1
2021-07-26 11:25:56,2,2,1
2021-07-26 11:25:57,8,5,1
2021-07-26 11:25:58,7,6,1
2021-07-26 11:25:59,7,4,1
2021-07-26 11:26:00,5,4,1
2021-07-26 11:26:01,8,4,1
2021-07-26 11:26:02,14,10,1
2021-07-26 11:26:03,18,8,1
2021-07-26 11:26:04,10,5,1
2021-07-26 11:26:05,24,4,1
2021-07-26 11:26:06,6,5,1
2021-07-26 11:26:07,6,5,1
2021-07-26 11:26:08,4,2,1
2021-07-26 11:26:09,12,7,1
2021-07-26 11:26:10,4,4,1
2021-07-26 11:26:11,14,4,1
2021-07-26 11:26:12,6,4,1
2021-07-26 11:26:13,9,4,1
2021-07-26 11:26:14,7,5,1
2021-07-26 11:26:15,10,6,1
2021-07-26 11:26:16,11,5,1
2021-07-26 11:26:17,4,3,1
2021-07-26 11:26:18,2,2,1
2021-07-26 11:26:19,4,4,1
2021-07-26 11:26:20,2,2,1
2021-07-26 11:26:21,3,3,1
2021-07-26 11:26:22,5,5,1
2021-07-26 11:26:23,5,3,1
2021-07-26 11:26:24,7,4,1
2021-07-26 11:26:25,4,3,1
2021-07-26 11:26:26,2,2,1
2021-07-26 11:26:28,4,3,1
2021-07-26 11:26:29,2,2,1
2021-07-26 11:26:30,3,2,1
2021-07-26 11:26:31,1,1,1
2021-07-26 11:26:32,2,1,1
2021-07-26 11:26:33,5,3,1
2021-07-26 11:26:34,8,3,1
2021-07-26 11:26:35,5,5,1
2021-07-26 11:26:36,2,2,1
2021-07-26 11:26:37,4,1,1
2021-07-26 11:26:38,6,2,1
2021-07-26 11:26:39,3,3,1
2021-07-26 11:26:40,7,5,1
2021-07-26 11:26:41,2,2,1
2021-07-26 11:26:42,8,4,1
2021-07-26 11:26:43,3,2,1
2021-07-26 11:26:44,6,2,1
2021-07-26 11:26:45,6,4,1
2021-07-26 11:26:46,4,3,1
2021-07-26 11:26:49,5,3,1
2021-07-26 11:26:50,3,3,1
2021-07-26 11:26:51,2,2,1
2021-07-26 11:26:52,1,1,1
2021-07-26 11:26:53,3,2,1
2021-07-26 11:26:54,2,2,1
2021-07-26 11:26:55,2,2,1
2021-07-26 11:26:56,2,2,1
2021-07-26 11:26:57,2,2,1
2021-07-26 11:26:59,2,2,1
2021-07-26 11:27:00,5,5,1
2021-07-26 11:27:01,3,3,1
2021-07-26 11:27:02,18,6,1
2021-07-26 11:27:04,7,5,1
2021-07-26 11:27:05,4,4,1
2021-07-26 11:27:06,1,1,1
2021-07-26 11:27:07,3,2,1
2021-07-26 11:27:08,1,1,1
2021-07-26 11:27:09,8,4,1
2021-07-26 11:27:10,5,4,1
2021-07-26 11:27:11,2,2,1
2021-07-26 11:27:12,7,5,1
2021-07-26 11:27:13,4,3,1
2021-07-26 11:27:14,3,3,1
2021-07-26 11:27:15,4,4,1
2021-07-26 11:27:16,10,6,1
2021-07-26 11:27:17,10,5,1
2021-07-26 11:27:18,11,3,1
2021-07-26 11:27:19,10,1,1
2021-07-26 11:27:20,7,2,1
2021-07-26 11:27:21,4,4,1
2021-07-26 11:27:22,7,5,1
2021-07-26 11:27:23,16,8,1
2021-07-26 11:27:24,9,5,1
2021-07-26 11:27:25,9,5,1
2021-07-26 11:27:26,1,1,1
2021-07-26 11:27:27,5,4,1
2021-07-26 11:27:28,9,3,1
2021-07-26 11:27:29,7,2,1
2021-07-26 11:27:30,19,7,1
2021-07-26 11:27:31,8,3,1
2021-07-26 11:27:32,5,5,1
2021-07-26 11:27:33,7,4,1
2021-07-26 11:27:34,5,4,1
2021-07-26 11:27:35,5,4,1
2021-07-26 11:27:36,4,3,1
2021-07-26 11:27:37,3,3,1
2021-07-26 11:27:38,3,3,1
2021-07-26 11:27:39,9,5,1
2021-07-26 11:27:40,8,6,1
2021-07-26 11:27:41,14,5,1
2021-07-26 11:27:42,18,6,1
2021-07-26 11:27:43,10,7,1
2021-07-26 11:27:44,3,2,1
